ITEM: TIMESTEP
4080000
ITEM: NUMBER OF ATOMS
9276
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
0.0000000000000000e+00 5.0000000000000000e+01
ITEM: ATOMS id type q x y z 
445 4 1.5625 4.67103 10.2177 25.2262 
446 3 -0.848084 1.58019 26.7293 15.0696 
447 3 -0.853478 20.8107 35.9935 29.7124 
448 4 1.20133 24.4892 12.1389 41.5798 
449 3 -0.874588 3.36262 32.7311 18.749 
450 3 -0.725432 15.1139 40.6413 12.1685 
451 4 1.63149 47.5778 8.3715 13.8536 
452 3 -0.859347 45.1037 17.1199 36.8078 
453 3 -0.946938 11.8112 48.3764 21.503 
454 4 1.17576 31.3897 10.3724 43.4528 
455 3 -0.743645 28.2198 6.64153 27.335 
456 3 -0.873545 47.3533 7.43217 47.1112 
457 4 1.67377 33.5992 31.8866 33.7632 
458 3 -0.78639 35.5219 6.72904 19.6675 
459 3 -0.919069 40.756 19.1364 26.7945 
460 4 1.53436 7.95359 19.2123 12.1949 
461 3 -0.780668 34.0221 38.5847 41.3439 
462 3 -0.777192 16.0795 22.4521 16.2921 
463 4 1.49158 2.85821 45.8032 44.0677 
464 3 -0.71275 13.0168 3.56291 24.7265 
465 3 -0.726875 19.0637 18.6498 26.7166 
466 4 1.4685 39.9713 33.8854 45.8373 
467 3 -0.887637 23.7276 13.4391 45.6812 
468 3 -0.659549 24.9519 18.3092 26.408 
469 4 1.49856 37.1518 28.7587 6.1463 
470 3 -0.75128 41.4004 47.6283 20.4353 
471 3 -0.809372 9.88029 10.4166 18.579 
472 4 1.43889 44.7239 46.1757 24.9226 
473 3 -0.800238 7.73884 2.88175 44.0517 
474 3 -0.860356 6.50413 34.4001 33.1589 
475 4 1.52921 40.4322 29.0255 32.3129 
476 3 -0.972222 45.2797 42.2311 48.9361 
477 3 -0.783455 33.7179 9.28539 40.9606 
478 4 1.50186 15.0178 22.0388 6.01928 
479 3 -0.83362 5.68916 40.5301 35.5674 
480 3 -0.770923 14.3525 35.9639 14.234 
481 4 1.65318 21.4216 35.3107 12.4829 
482 3 -0.747131 46.5673 7.40049 33.524 
483 3 -0.752579 38.0598 4.19644 45.1453 
484 4 1.56451 7.08167 47.3203 12.814 
485 3 -0.853703 3.20833 34.2272 8.59205 
486 3 -0.788322 24.2577 28.1411 21.5437 
487 4 1.62172 35.409 46.1428 17.7139 
488 3 -0.703728 29.3393 7.61712 2.68947 
489 3 -0.781923 13.5873 16.7667 43.5314 
490 4 1.52271 39.5033 12.2608 32.7338 
491 3 -0.755474 19.7079 27.016 46.8667 
492 3 -0.720727 27.5591 21.7958 47.2151 
493 4 1.6455 7.79845 7.25288 35.6285 
494 3 -0.753919 16.1276 43.6508 18.1535 
495 3 -0.889316 24.3219 3.84137 40.4241 
496 4 1.57664 6.41295 47.7135 30.8963 
497 3 -0.824367 9.85412 32.2291 49.8087 
498 3 -0.756395 15.6583 11.0794 25.2114 
499 4 1.59209 33.6201 29.2127 14.6396 
500 3 -0.758333 6.946 25.5261 1.16915 
501 3 -0.549114 25.0671 37.925 35.5967 
502 4 1.43715 46.181 6.73475 34.8679 
503 3 -0.75489 16.1973 11.5266 17.5519 
504 3 -0.790503 2.17759 21.3904 18.714 
505 4 1.48017 23.7108 33.567 21.9376 
506 3 -0.844461 48.9423 6.66003 40.3542 
507 3 -0.748799 48.2969 11.0592 37.3075 
508 4 1.52365 8.86125 28.6315 37.5152 
509 3 -0.760356 23.4045 6.02056 49.1908 
510 3 -0.807918 30.3396 12.9625 1.30929 
511 4 1.61416 33.2745 17.5717 30.4238 
512 3 -0.871689 1.33868 2.50856 16.1741 
513 3 -0.953264 22.629 21.713 14.5687 
514 4 1.50388 31.4874 4.1644 47.7772 
515 3 -0.820435 49.4087 47.3724 17.6678 
516 3 -0.797973 16.6521 7.72503 41.9659 
517 4 1.1739 26.965 26.2668 29.7034 
518 3 -0.887029 47.8834 45.4682 4.78336 
519 3 -0.675796 34.3203 9.97392 46.4566 
520 4 1.49098 32.0275 46.9857 48.2988 
521 3 -0.686423 8.89266 10.3359 29.7846 
